Name,State FIPS,County FIPS,Household Income,Median Age,Median Male Age,Median Female Age,No Education,High School,GED,Some College,Associates Degree,Bachelors Degree,Professional Degree,Doctoral Degree
"Hormigueros Municipio, Puerto Rico",72,067,19674.0,45.1,42.9,47.6,351.0,3162.0,426.0,1560.0,900.0,2022.0,62.0,26.0
"Manatí Municipio, Puerto Rico",72,091,18191.0,40.9,39.4,41.7,1022.0,7395.0,362.0,2557.0,3025.0,4921.0,204.0,166.0
"Naguabo Municipio, Puerto Rico",72,103,18976.0,37.0,36.3,37.5,492.0,5223.0,207.0,1774.0,1447.0,2792.0,41.0,35.0
"Naranjito Municipio, Puerto Rico",72,105,18069.0,38.7,38.0,39.3,797.0,4758.0,383.0,2940.0,2033.0,2835.0,83.0,11.0
"San Germán Municipio, Puerto Rico",72,125,15036.0,42.7,41.1,44.4,751.0,6099.0,916.0,1951.0,1358.0,3909.0,171.0,136.0
"Utuado Municipio, Puerto Rico",72,141,15931.0,41.7,40.6,42.5,579.0,5653.0,466.0,2768.0,1759.0,3059.0,74.0,105.0
"Arecibo Municipio, Puerto Rico",72,013,17289.0,41.4,39.2,43.4,1875.0,17036.0,1744.0,7206.0,5999.0,10461.0,350.0,569.0
"Arroyo Municipio, Puerto Rico",72,015,15689.0,38.7,37.1,40.0,304.0,4817.0,105.0,1058.0,1084.0,1685.0,28.0,12.0
"Cataño Municipio, Puerto Rico",72,033,18663.0,39.1,36.4,41.3,510.0,4468.0,528.0,2102.0,1729.0,2416.0,294.0,157.0
"Florida Municipio, Puerto Rico",72,054,16919.0,38.2,37.1,40.8,124.0,3013.0,150.0,1210.0,920.0,844.0,0.0,33.0
"Hatillo Municipio, Puerto Rico",72,065,17770.0,40.7,39.2,41.8,712.0,5760.0,483.0,2369.0,4066.0,5196.0,141.0,254.0
"Humacao Municipio, Puerto Rico",72,069,18735.0,41.3,38.6,43.3,888.0,11004.0,663.0,3687.0,4173.0,6418.0,214.0,463.0
"Juana Díaz Municipio, Puerto Rico",72,075,20228.0,37.5,36.3,38.4,588.0,9919.0,584.0,2459.0,3047.0,5825.0,446.0,269.0
"Morovis Municipio, Puerto Rico",72,101,18739.0,37.0,35.8,37.9,554.0,5184.0,203.0,2657.0,2371.0,2845.0,0.0,96.0
"Mayagüez Municipio, Puerto Rico",72,097,14642.0,39.9,35.6,43.0,1608.0,12644.0,2786.0,5459.0,2911.0,8641.0,415.0,1020.0
"Santa Isabel Municipio, Puerto Rico",72,133,16816.0,37.2,35.6,38.4,243.0,5087.0,210.0,1317.0,1254.0,2372.0,107.0,118.0
"Trujillo Alto Municipio, Puerto Rico",72,139,31202.0,39.3,36.8,41.6,884.0,10793.0,782.0,5491.0,5246.0,11623.0,732.0,776.0
"Quebradillas Municipio, Puerto Rico",72,115,16082.0,39.3,38.0,40.9,761.0,4822.0,191.0,1790.0,2087.0,2321.0,43.0,197.0
